title,date,time,location,organizer,status,cover_image,link
"Let's Walk, Singapore",,8:30 AM,By Sunnystep Singapore,By Sunnystep Singapore,,"https://images.lumacdn.com/cdn-cgi/image/format=auto,fit=cover,dpr=2,anim=false,background=white,quality=75,width=180,height=180/event-covers/n0/4e67c5b4-6b0f-4c2b-b946-83bb778afdfd.jpg",https://lu.ma/6euhve5i
MANUS AI X OOJU XR Hackathon,,10:00 AM,"By Juhyun Park, cho chan Myei Oo, Manus AI & SQ Collective","By Juhyun Park, cho chan Myei Oo, Manus AI & SQ Collective",,"https://images.lumacdn.com/cdn-cgi/image/format=auto,fit=cover,dpr=2,anim=false,background=white,quality=75,width=180,height=180/event-covers/m1/99b6936d-3b7a-40c9-8e7a-39f0b4f1fdb9.png",https://lu.ma/7ldj1sd1
Vibe Coding Nights & Weekends,,10:00 AM,By SQ Collective & The Generative Beings,By SQ Collective & The Generative Beings,Near Capacity,"https://images.lumacdn.com/cdn-cgi/image/format=auto,fit=cover,dpr=2,anim=false,background=white,quality=75,width=180,height=180/event-covers/qj/5ad6659f-6c17-4bd2-a765-d75ec23d5a05.jpg",https://lu.ma/czti0wc9
ELECTRIC BREW,,12:00 PM,"By OS, Jorden, Danielle@OS & MUNK","By OS, Jorden, Danielle@OS & MUNK",,"https://images.lumacdn.com/cdn-cgi/image/format=auto,fit=cover,dpr=2,anim=false,background=white,quality=75,width=180,height=180/calendar-cover-images/uf/1f15e216-e14f-41e6-bc25-f94444a4272d.jpg",https://lu.ma/n77unru1
Art X Stacks—Melisa Teo: Light From Within,,3:00 PM,By Jaslyin Qiyu,By Jaslyin Qiyu,,"https://images.lumacdn.com/cdn-cgi/image/format=auto,fit=cover,dpr=2,anim=false,background=white,quality=75,width=180,height=180/event-covers/4w/f73a661c-eb5f-4420-8246-93d0fe607cb2.jpg",https://lu.ma/0bak1tfj
June Design Happy Hour with fellow Design Nerds,,7:00 PM,"By Singapore Product Design, Leonard Reese, Desiree Seow, Sangeetha Selvaraja & 4 others","By Singapore Product Design, Leonard Reese, Desiree Seow, Sangeetha Selvaraja & 4 others",Waitlist,"https://images.lumacdn.com/cdn-cgi/image/format=auto,fit=cover,dpr=2,anim=false,background=white,quality=75,width=180,height=180/event-covers/p7/7da415d3-3785-4987-9fe5-63b8563dc3ca.png",https://lu.ma/7q8y2k9r
FC SG • Founders Run & Coffee!,,8:00 AM,"By Founders Common, OS & Shun","By Founders Common, OS & Shun",,"https://images.lumacdn.com/cdn-cgi/image/format=auto,fit=cover,dpr=2,anim=false,background=white,quality=75,width=180,height=180/event-covers/ux/dcd74f7d-ce2c-4fcc-8bda-af5574eee196.png",https://lu.ma/djgeo7hm
Rally & Rally: Casual Pickleball + Meaningful Connections for a Cause,,5:00 PM,By CHOYS,By CHOYS,SGD 18,"https://images.lumacdn.com/cdn-cgi/image/format=auto,fit=cover,dpr=2,anim=false,background=white,quality=75,width=180,height=180/event-covers/sk/599fa5ec-05a5-438d-8491-dacea3d2d277.png",https://lu.ma/jqehmbs2
Future Forward: Embedding AI in Product Processes,,6:30 PM,By Idris Atakli,By Idris Atakli,,"https://images.lumacdn.com/cdn-cgi/image/format=auto,fit=cover,dpr=2,anim=false,background=white,quality=75,width=180,height=180/gallery-images/x6/fc12882e-c0a2-4f3f-a943-80e900bcf91d",https://lu.ma/666pz4q6
OS x Manus AI,,7:00 PM,"By Manus AI, Alan Chan & OS","By Manus AI, Alan Chan & OS",Sold Out,"https://images.lumacdn.com/cdn-cgi/image/format=auto,fit=cover,dpr=2,anim=false,background=white,quality=75,width=180,height=180/event-covers/i5/e8cf6c75-d62b-45cc-b456-5af840775d6d.png",https://lu.ma/sphagprs
